model_id;manufacturer;airline_code;airline;airline_row;aircraft_id;aircraft_type;registration;livery;parent_livery;Zusatzinfo;aircraft_name;livery_note;extra_info;model_extra;special_note;Shop;Shop_url;Preis;Versandkosten;Eigenfluege;postcards_raw;postkarte_info;postkarte_url;Preis_Postkarte;Foto;Photo_Source_Url;Photo_Image_Url;Photo_Credit;logo_id;vorhanden;angekommen;bestellt_am;Wunsch;Wunsch_Prio;source_sheet;source_row
WIS-OS-4;;OS;Austrian;Austrian;AIB-A310-300;Airbus A310-300;OE-LAA;AUA-1988-CHEVRON;;N:New York | I:erstes Langstreckenflugzeug;New York;;erstes Langstreckenflugzeug;;;Ebay Le compagnie;https://www.ebay.de/itm/225704729232;119,53;;;U:https://jjpostcards.com/de/ansichtskarten/15822-austrian-a310.html;;https://jjpostcards.com/de/ansichtskarten/15822-austrian-a310.html;1,35;https://www.jetphotos.com/photo/11354838;https://www.jetphotos.com/photo/11354838;https://cdn.jetphotos.com/full/5/526207_1716319810.jpg;Michael Genovese;OS_AUA;Falsch;;;WAHR;1;AUA;4
OS001;Aeroclassics;OS;Austrian;Austrian;AIB-A319;Airbus A319-100;OE-LDE;AUA-2015-MYAUA;;N:Baku;Baku;;;;;Aviationmegastore;https://www.aviationmegastore.com/de/modelle/airbus-a319-austrian-airlines-oe-lde-aero-classics-ac411344-208116.html;54,5;13,63;x;U:https://jjpostcards.com/de/ansichtskarten/39091-Austrian-A319.html;;https://jjpostcards.com/de/ansichtskarten/39091-Austrian-A319.html;1,35;https://www.jetphotos.com/photo/10159741;https://www.jetphotos.com/photo/10159741;https://cdn.jetphotos.com/full/5/84988_1620144752.jpg;Gerhard Zant;OS_AUA;Wahr;;;FALSCH;;AUA;5
OS010;Dragon Wings;OS;Austrian;Austrian;AIB-A320-200;Airbus A320-200;OE-LBP;AUA-1997-QUALIFLYER;AUA-1995-ARROWSTRIPE;L:Qualiflyer;;Qualiflyer;;;;Ebay stoeberdaniel;;36,44;;x;U:https://jjpostcards.com/de/ansichtskarten/14917-austrian-a320.html;;https://jjpostcards.com/de/ansichtskarten/14917-austrian-a320.html;0,85;https://berlin-spotter.de/focus/aua320qualiflyer.jpg;https://berlin-spotter.de/focus/aua320qualiflyer.jpg;https://berlin-spotter.de/focus/aua320qualiflyer.jpg;;OS_AUA;Wahr;;;FALSCH;;AUA;6
OS002;Dragon Wings;OS;Austrian;Austrian;AIB-A321-100;Airbus A321-100;OE-LBB;AUA-1999-STRAUSS;AUA-1995-ARROWSTRIPE;N:Pinzgau | L:Johann Strauss;Pinzgau;Johann Strauss;;;;MW-MOBA;https://mw-moba.de/produkt-kategorie/1400/;24,5;3;x;U:https://jjpostcards.com/de/ansichtskarten/35822-Austrian-A321.html;;https://jjpostcards.com/de/ansichtskarten/35822-Austrian-A321.html;0,85;https://www.planespotters.net/photo/255885/oe-lbb-austrian-airlines-airbus-a321-111;https://www.planespotters.net/photo/255885/oe-lbb-austrian-airlines-airbus-a321-111;https://cdn.plnspttrs.net/48716/oe-lbb-austrian-airlines-airbus-a321-111_PlanespottersNet_255885_f492f2306f_o.jpg;bruno muthelet;OS_AUA;Wahr;;;FALSCH;;AUA;7
OS016;Dragon Wings;OS;Austrian;Austrian;AIB-A321-100;Airbus A321-100;OE-LBB;AUA-1996-1000YEARS;AUA-1995-ARROWSTRIPE;N:Pinzgau | L:1000 Jahre Österreich;Pinzgau;1000 Jahre Österreich;;;;MW-MOBA;;17,5;1,87;x;U:https://jjpostcards.com/de/ansichtskarten/24460-austrian-a321.html;;https://jjpostcards.com/de/ansichtskarten/24460-austrian-a321.html;1,05;https://www.planespotters.net/photo/355580/oe-lbb-austrian-airlines-airbus-a321-111;https://www.planespotters.net/photo/355580/oe-lbb-austrian-airlines-airbus-a321-111;https://cdn.plnspttrs.net/16831/oe-lbb-austrian-airlines-airbus-a321-111_PlanespottersNet_355580_25d06d84a4_o.jpg;Donato Bolelli;OS_AUA;Wahr;2025-05-22;;FALSCH;;AUA;8
OS007;Herpa Wings;OS;Austrian;Austrian;AIB-A330-200;Airbus A330-200;OE-LAN;AUA-2003-BLUEBELLY;;N:Arlberg;Arlberg;;;;;Ebay kunstspezi;;59;;;U:https://jjpostcards.com/de/ansichtskarten/19862-austrian-a330.html;;https://jjpostcards.com/de/ansichtskarten/19862-austrian-a330.html;0,85;https://www.planespotters.net/photo/011983/oe-lan-austrian-airlines-airbus-a330-223;https://www.planespotters.net/photo/011983/oe-lan-austrian-airlines-airbus-a330-223;https://cdn.plnspttrs.net/30337/oe-lan-austrian-airlines-airbus-a330-223_PlanespottersNet_011983_682bc032a5_o.jpg;Pavel BENCIK;OS_AUA;Wahr;;;FALSCH;;AUA;10
OS005;Herpa Wings;OS;Austrian;Austrian;AIB-A340-200;Airbus A340-200;OE-LAG;AUA-1995-ARROWSTRIPE;;N:Europe;Europe;;;;;Ebay 0961.boeing.747-400;;39,85;;;U:https://jjpostcards.com/de/ansichtskarten/2243-austrian-a340.html;;https://jjpostcards.com/de/ansichtskarten/2243-austrian-a340.html;0,85;https://www.planespotters.net/photo/015371/oe-lag-austrian-airlines-airbus-a340-211;https://www.planespotters.net/photo/015371/oe-lag-austrian-airlines-airbus-a340-211;https://cdn.plnspttrs.net/45275/oe-lag-austrian-airlines-airbus-a340-211_PlanespottersNet_015371_722aa16f81_o.jpg;Harry Artner;OS_AUA;Wahr;;;FALSCH;;AUA;11
OS015;Herpa Wings;OS;Austrian;Austrian;AIB-A340-300;Airbus A340-300;OE-LAL;AUA-2006-PHILHARMONIKER;AUA-2003-BLUEBELLY;N:Wiener Philharmoniker;Wiener Philharmoniker;;;;;Ebay Leon;;47;;;U:https://jjpostcards.com/de/ansichtskarten/11095-austrian-a340.html;;https://jjpostcards.com/de/ansichtskarten/11095-austrian-a340.html;1,35;https://www.planespotters.net/photo/036860/oe-lal-austrian-airlines-airbus-a340-313;https://www.planespotters.net/photo/036860/oe-lal-austrian-airlines-airbus-a340-313;https://cdn.plnspttrs.net/05401/oe-lal-austrian-airlines-airbus-a340-313_PlanespottersNet_036860_7cd12d03c2_o.jpg;Harry Artner;OS_AUA;Wahr;;;FALSCH;;AUA;12
OS004;NG Wings;OS;Austrian;Austrian;BOE-737-600;Boeing 737-600;OE-LNL;AUA-2003-BLUEBELLY;;N:Kahlenberg;Kahlenberg;;;;;World of Wings;https://www.world-of-wings.eu/epages/82202172.sf/sec268158f1b3/?ObjectPath=/Shops/82202172/Products/76015;47,95;;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/19214-austrian-b737.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/19214-austrian-b737.html;0,85;https://www.planespotters.net/photo/209509/oe-lnl-austrian-airlines-boeing-737-6z9;https://www.planespotters.net/photo/209509/oe-lnl-austrian-airlines-boeing-737-6z9;https://cdn.plnspttrs.net/26575/oe-lnl-austrian-airlines-boeing-737-6z9_PlanespottersNet_209509_7f1c83cbdc_o.jpg;Michael Walter;OS_AUA;Wahr;;;FALSCH;;AUA;17
OS011;Witty Wings;OS;Austrian;Austrian;BOE-737-800-WL;Boeing 737-800 (Winglets);OE-LNT;AUA-2003-STARALLIANCE;AUA-2003-BLUEBELLY;N:Gerlitzen | L:Star Alliance;Gerlitzen;Star Alliance;;;;MW-MOBA;https://mw-moba.de/produkt-kategorie/1400/;44,5;5,5;;U:https://jjpostcards.com/de/ansichtskarten/13117-austrianstar-alliance-b737.html;;https://jjpostcards.com/de/ansichtskarten/13117-austrianstar-alliance-b737.html;1,35;https://www.planespotters.net/photo/245246/oe-lnt-austrian-airlines-boeing-737-8z9-wl;https://www.planespotters.net/photo/245246/oe-lnt-austrian-airlines-boeing-737-8z9-wl;https://cdn.plnspttrs.net/17540/oe-lnt-austrian-airlines-boeing-737-8z9-wl_PlanespottersNet_245246_b49a42a2d3_o.jpg;Roland Winkler;OS_AUA;Wahr;;;FALSCH;;AUA;20
